107	5570	3	10.87
3693	16	4	19.29
2689	102	6	7.31
182	298	3	6.77
1936	1488	6	74.41
222	256	6	21.73
2096	1630	3	32.63
153	1329	7	44.05
115	2425	3	8.37
798	137	3	7.47
5761	8	3	11.73
101	182	53	16.84
3599	102	5	10.13
3072	109	3	7.38
2403	111	3	7.27
2515	135	4	21
277	454	3	12.27
9	2843	4	15.94
238	672	16	140.28
1434	3262	3	32.86
1562	7536	3	42.45
381	704	4	24.68
5193	101	4	6.9
12	2381	7	8.44
1041	39	4	11.83
150	119	26	36.37
815	522	4	28.45
124	1562	6	28.32
1124	106	5	7.81
781	144	3	8.43
6871	650	3	36.86
2076	292	3	21.19
101	4943	4	6.9
9	482	19	39.66
109	213	17	15.58
2744	6625	3	45.11
110	4060	3	9.16
119	1531	3	6.76
107	948	5	6.73
117	507	17	71.12
660	101	17	11.26
107	7109	3	15.2
111	2419	4	12.57
107	1100	6	11.72
516	248	5	25.3
176	310	3	6.79
10	632	16	92.88
5401	400	3	30.07
1349	3626	3	36.48
4252	101	4	6.9
819	110	5	6.72
156	108	29	26.74
106	39	43	13.03
1365	104	6	8.31
1029	782	3	23.05
2003	10	4	17.88
9	1123	6	7.14
121	2489	4	16.69
555	101	19	11.84
116	811	7	19.63
106	222	22	29.85
9	1303	8	16.04
146	8207	3	24.68
7031	5875	3	54.67
1910	389	3	25.22
289	305	3	9.62
153	392	5	14.5
392	153	5	14.5
135	754	3	6.66
364	181	3	8.17
108	3473	3	8.85
1282	389	3	22.58
484	629	3	17.89
2216	120	3	9.02
973	198	3	14.64
3632	102	5	10.13
192	166	9	24.29
264	210	3	6.64
2504	123	7	47.73
2935	8	4	8.62
415	102	20	7.09
343	1511	4	30.21
924	354	4	26.47
6025	992	3	39.23
153	256	14	56.63
104	1695	6	9.65
141	1169	5	23.42
1946	114	4	11.44
263	177	4	9.61
512	153	5	17.66
540	12	23	11.44
1058	107	5	8.58
103	6923	3	9.95
5423	143	3	19.93
1382	159	4	21.2
4779	109	3	10.87
1110	129	4	12.23
160	107	22	10.09
330	166	6	18.48
344	485	4	22.44
121	949	4	8.49
125	540	4	6.66
112	816	5	7.64
542	126	5	9.98
132	1974	3	11.57
12	3197	6	7.23
107	695	8	14.81
646	1098	3	21.89
119	1277	5	14.98
1645	110	7	24.64
162	188	9	22.73
5303	6185	3	50.17
752	2137	8	103.17
129	229	9	13.83
304	236	4	14.16
106	426	18	44.01
148	670	4	12.84
1352	1659	6	72.4
346	1000	3	18.44
5039	101	4	6.9
1006	1192	3	25.21
326	106	14	17.74
106	1311	8	24.55
5674	250	3	30.75
169	299	7	23.44
9	117	159	156
4483	811	3	34.33
942	10	5	18.17
560	104	10	7.23
4226	181	4	38.14
200	155	6	10.87
12	781	19	22.93
198	729	9	64.36
16	431	6	7.69
114	2920	3	9.45
1360	114	4	8.87
105	145	37	7.2
654	112	5	6.75
526	16	5	6.87
3832	640	3	30.14
110	1389	4	6.74
765	2497	3	28.21
2926	112	5	22.47
896	105	8	9.44
836	177	5	25.61
3445	107	4	15.44
372	139	4	6.9
109	900	7	14.11
1596	161	8	56.54
120	102	179	9.67
4868	105	3	7.46
1168	3802	5	67.76
1096	323	4	25.93
101	4252	4	6.9
108	12	497	23.87
623	107	8	13.33
2468	109	6	24.85
1200	4444	4	55.31
623	235	4	19.27
12	2998	6	7.23
106	5676	3	14.65
1508	2275	4	45.09
9	2412	5	12.14
122	2076	5	23.48
438	436	3	14.64
689	250	3	14.04
6337	329	3	32.63
12	333	41	28.87
12	126	321	383.61
421	173	3	7.72
4843	7032	3	50.17
2067	104	6	13.4
1457	106	5	10.35
492	138	5	12.84
3059	118	3	9.96
7533	104	3	10.83
252	169	4	8.03
6659	113	3	17.27
112	104	160	35.97
252	101	37	9.24
7776	103	3	9.95
3891	287	3	24.9
206	360	3	8.56
226	353	5	20.19
116	2797	4	16.33
102	1016	15	23.83
171	406	3	7.3
1205	110	12	55.58
6143	4484	3	50.17
6777	113	3	17.27
103	156	47	21.58
345	10	6	13.12
1956	101	8	8.63
558	287	3	13.25
371	5674	3	33.36
1074	360	5	38.6
39	343	7	14.88
1413	286	3	18.09
148	244	5	8.08
3626	151	3	18.59
230	157	7	16.57
211	3682	3	22.86
110	2476	5	17.92
320	485	5	29.24
2865	109	3	7.38
230	111	11	7.16
783	133	5	17.07
107	137	32	13.65
139	12	159	59.73
107	185	15	7.57
101	3182	6	10.36
5687	239	3	30.45
125	2591	3	11.6
106	624	19	72.54
5548	102	4	8.1
148	499	5	15.54
1717	8	7	16.09
116	111	60	18.42
39	519	4	6.99
105	5489	3	7.46
16	3236	4	19.29
222	3264	4	32.43
111	3005	3	8.38
163	122	11	7.45
8	1608	6	9.84
163	176	6	9.53
124	800	8	30.25
1548	116	5	15.18
108	1112	6	11.8
4583	105	4	15.53
2473	8	5	11.8
1016	125	11	57.38
870	3524	5	64.74
101	1893	7	7.15
6206	10	3	22.49
916	4081	4	47.04
9	3490	5	19.93
5422	9	3	7.75
1465	4466	3	37.28
456	250	3	11.17
4196	275	4	36.63
111	134	29	11.64
620	128	4	8.08
289	813	3	15.54
676	213	3	12.23
5106	108	3	10.91
984	6492	3	39.23
12	1346	11	7.97
104	1361	7	10.78
1853	6079	3	44.08
167	424	4	11.88
589	3615	4	43.61
257	308	4	14
343	605	3	15.43
1135	370	13	151.67
9	4331	4	15.94
2797	1824	4	50.59
123	101	176	15.38
126	1346	3	7.73
104	245	23	14.28
472	681	3	17.54
553	292	3	13.6
130	359	8	20.34
1821	9	5	10.22
2352	134	3	12.44
1216	103	10	20.4
1777	148	3	12.83
438	115	7	9.62
711	213	3	12.51
3100	12	6	7.23
101	4433	4	6.9
672	207	5	26.06
138	1926	3	12.07
850	12	16	9.91
101	4509	4	6.9
118	2685	3	8.82
219	102	39	10.91
465	262	3	11.27
813	1414	3	25.58
8137	251	3	30.65
2313	399	5	47.37
881	586	3	21.07
1345	12	11	7.97
3005	111	3	8.38
8	194	24	14.17
725	161	3	11.2
16	2465	4	14.93
127	233	8	10.98
959	1069	3	24.25
12	2895	6	7.23
525	177	3	9.88
12	479	31	37.44
1511	8	7	14.19
2444	8	4	7
4682	105	3	7.46
45	1064	5	17.47
108	2877	3	7.42
106	3339	3	8.28
133	2490	3	13.61
2	13	6	16.22
5513	102	4	8.1
2020	105	5	8.29
201	157	6	10.68
160	1780	3	13.82
101	839	18	24.36
768	1864	9	116.7
118	433	6	7.14
109	4627	4	20.27
171	1431	4	21.27
101	629	17	9.53
16	4654	3	13.74
266	288	3	8.56
12	2666	7	8.44
7830	104	3	10.83
494	574	4	25.16
594	10	5	13.86
194	190	4	8.32
559	106	16	47.28
104	3131	6	21.68
182	2498	3	19.43
5458	110	3	11.24
222	2452	4	30.52
101	4600	4	6.9
1714	292	3	19.58
2307	336	3	22.08
109	674	7	10.45
427	408	4	21.27
465	299	3	12.1
557	5271	4	48.27
610	507	4	26.09
180	101	56	14.7
115	113	47	8.51
1338	813	4	36.27
1088	101	12	9
101	5425	4	6.9
17	15	5	8.71
5504	104	3	6.69
106	775	10	24.23
1625	106	7	22.53
9	1650	5	7.53
418	1703	4	32.29
758	1072	4	33.21
369	391	3	12.79
156	659	3	9.13
106	641	19	76.09
360	281	3	10.67
1614	280	3	18.69
167	387	5	16.26
12	1246	11	7.97
108	3978	3	8.85
326	5703	3	32.49
3840	114	3	10.92
822	107	8	17.5
103	575	25	83.12
102	662	15	10.68
226	325	5	19.03
2025	347	3	22.43
134	1058	5	20.2
39	4906	3	17
101	2112	7	7.15
206	272	5	16.04
152	258	8	21.8
5047	109	3	10.87
5091	116	4	23.76
171	111	15	7.21
206	125	8	8.74
105	7884	3	11.65
12	1382	10	12.06
111	428	24	93.52
141	1628	3	12.8
104	1230	7	9.5
309	105	17	12.71
103	153	43	11.34
114	5372	3	13.04
265	143	5	8.3
126	112	33	7.7
193	12	64	16.76
2589	116	7	41.62
451	133	4	8.49
5489	105	3	7.46
4162	111	3	9.83
101	1653	10	17.27
9	3192	4	8.89
137	1919	3	12.18
121	541	5	8.38
2792	9	4	8.89
3136	113	3	9.3
3873	3704	5	86.01
930	336	3	16.9
208	555	4	17.37
1525	9	6	10.22
1951	118	3	7.12
405	39	10	30.61
148	209	6	10.12
632	5813	3	36.86
5334	108	3	10.91
700	1215	12	149.66
101	3588	4	6.9
175	308	4	10.09
109	1622	4	7.8
340	688	3	16.91
106	1098	5	7.14
576	1297	3	22.32
181	388	3	9.15
2152	245	3	19.93
352	292	4	17.81
328	342	3	10.94
2933	388	3	26.46
1242	756	3	23.75
4893	101	4	6.9
1425	539	3	23.13
300	163	5	12.13
347	661	4	27.92
4519	101	4	6.9
3187	113	4	15.62
1206	112	4	7.3
16	956	4	6.93
182	970	3	14.11
8	2721	6	18.04
45	809	4	9.47
122	2049	3	10.06
1215	5929	3	40.62
118	179	12	9.09
183	162	5	7.09
5042	8	3	7.54
544	107	7	7.89
3395	102	5	10.13
267	4544	4	41.34
5929	122	3	20.3
1269	416	3	20.21
2000	658	5	51.85
797	1669	7	78.48
9	129	64	15.86
110	3768	3	9.16
353	519	3	14.33
219	972	3	14.63
4118	2233	3	37.36
125	4014	3	14.3
347	239	4	15.72
12	2469	7	8.44
476	185	4	14.57
290	116	8	7.52
108	6984	3	15.25
3192	8	4	8.62
8	990	7	8.2
838	1338	4	35.78
1557	302	6	48.96
102	1325	9	9.61
109	2786	4	12.97
845	2054	9	117.94
1786	424	3	22.02
2241	108	4	9.9
737	134	3	6.66
1584	195	3	16.75
616	520	3	17.62
626	156	3	8.87
499	104	13	12.84
384	101	24	6.77
1440	101	10	8.64
4022	115	3	10.98
101	587	17	8.05
200	320	3	8.07
1771	395	3	21.68
397	450	3	15.04
1156	183	3	14.14
3440	110	3	11.24
1379	118	4	9.51
256	106	35	93.41
376	3455	5	55.86
1311	106	8	24.55
110	132	30	9.26
4212	104	3	6.69
3566	101	5	8.63
177	847	4	18.95
3704	3873	5	86.01
113	564	7	12.23
834	152	3	9.08
2523	2564	3	35.55
108	3215	3	7.42
122	338	13	49.5
194	5620	3	29.24
133	1285	4	16.56
106	440	11	16.4
4964	3902	3	50.17
400	8109	3	34.56
6335	111	3	16.29
829	122	5	12.91
1757	122	6	27.46
190	481	7	35.79
120	1922	3	8.23
2578	499	3	25.84
111	2223	4	11.18
122	2933	3	12.18
383	5694	3	33.68
3241	2350	3	35.77
1000	107	6	11.72
1072	120	5	13.73
471	12	24	6.92
3343	109	3	10.87
190	226	15	75.88
3356	226	5	50.13
106	271	31	79.7
102	4973	4	8.1
102	2971	6	12.15
764	137	3	7.18
242	107	16	16.36
3109	109	3	7.38
1424	396	3	20.58
127	2107	3	10.86
396	411	4	20.8
659	1755	3	24.95
111	4440	3	11.92
1486	12	10	6.94
983	1894	3	28.21
1176	128	6	25.35
1753	45	3	9.29
