20250	3680	4
12	8431	11
6760	3390	8
101	6156	5
48029	6599	8
38842	7330	1
14	1669	26
2840	7069	27
109	947	2
111	1650	12
9371	4802	0
11925	6505	16
393	8749	0
10532	1187	14
637	918	7
26970	7874	0
3107	6575	10
50722	9871	5
3585	1627	16
49521	8964	11
17191	3173	2
243	9140	2
7037	9262	2
289	2308	2
1367	8328	5
4151	4765	10
1011	7561	9
23580	2521	10
105	8636	8
37971	9505	3
2062	413	5
2376	6324	10
969	5434	2
12	6831	3
17	484	10
1060	9296	2
1092	8891	15
186	2879	25
106	7994	2
101	2887	13
2199	2760	13
48803	8060	14
101	9766	5
50317	7799	11
12	5604	14
2965	3520	5
12	4650	12
48977	2040	12
18711	3708	24
597	559	11
1265	5017	2
12	9702	9
27430	8134	0
122	9493	11
1342	714	19
147	4211	3
369	90	1
12775	3383	1
36399	9869	14
46102	2125	16
105	2807	10
2815	1772	1
12	6987	11
25767	7699	12
7457	6999	14
7471	4496	15
102	4899	7
491	8809	3
14	4345	41
106	4657	13
101	6959	13
11053	9274	1
1685	9948	2
586	5796	37
109	1274	2
754	159	25
49107	2702	2
32929	8605	6
12	6410	29
357	6899	24
114	7661	4
28808	8440	11
12	3757	11
5954	9896	12
12	5070	4
1310	8359	7
5217	4212	16
278	1845	23
31924	3792	12
29735	9669	0
18357	3084	1
119	6932	3
122	9145	23
33621	2609	10
27246	3788	11
12	9034	21
120	7024	5
12	4781	14
16869	9842	14
4646	2840	31
14	8077	9
26374	7264	0
410	5360	8
4628	1640	3
103	936	3
7694	4497	16
21260	3426	10
312	540	5
4524	4562	6
8361	571	4
4047	4434	9
114	3560	10
1106	9545	3
32249	4835	5
122	4368	10
105	9759	4
5457	7639	9
9606	6057	11
104	2238	0
13253	2893	12
115	1709	9
7284	3569	26
14	7462	19
101	8737	3
14	4553	20
51599	8781	3
104	2681	0
1033	7846	9
5691	5242	3
123	8348	4
120	1663	16
120	433	18
14134	9255	6
157	1502	5
36304	9809	12
101	9356	11
1052	6784	8
41615	2144	6
101	2541	3
25578	9916	24
28298	5182	9
1266	7846	19
45742	9075	4
41144	9116	5
2784	8921	4
797	7119	13
120	3871	3
120	3075	38
49738	3209	9
21102	2746	0
1600	5383	12
112	3936	4
487	3329	28
8160	2638	19
13279	7106	9
13076	8456	8
28234	4808	2
14	7585	17
29810	9940	1
12	232	2
20478	2583	2
13824	8832	3
493	230	4
4212	2291	6
5661	1070	1
1727	3886	16
589	686	6
12	3776	5
6315	4889	7
111	5908	8
9613	2761	3
518	8230	17
18840	9524	0
411	1275	1
101	7308	1
