471	12	9	10.98
3754	102	3	11.43
104	2434	3	10.06
214	135	7	30.73
101	3160	4	11.16
106	608	4	7.22
239	146	3	11.66
167	168	3	9.89
1055	104	6	18.49
310	196	3	18.06
1378	102	5	13.03
119	215	4	9.7
12	4347	5	25.06
1499	103	3	6.57
283	101	39	110.79
644	112	3	8.96
1626	14	4	7.61
105	366	7	13.09
140	2067	4	35.05
1512	14	3	3.87
12	3455	3	8.13
116	510	4	14.62
101	747	14	36.58
146	1269	11	112.86
104	2061	3	9
101	671	11	21.1
101	612	11	19.43
685	165	17	183.52
12	1728	6	16.26
103	869	4	7.13
122	294	5	19.66
101	2133	4	7.95
2398	12	6	21.78
7660	115	3	30.96
544	12	10	16.51
668	102	8	18.12
106	1835	3	9.49
111	221	15	56.96
555	102	22	91.25
1545	102	4	9.48
101	926	5	5.09
213	101	27	31.44
116	152	16	43.91
101	1002	16	58.3
200	105	8	5.67
422	14	8	8.37
3619	103	3	12.66
119	571	5	24.96
208	492	4	30.87
182	101	24	14.22
849	14	7	13.21
171	105	9	4.24
199	134	3	7.5
130	150	23	112.5
130	210	3	7.4
106	930	3	5.91
1622	102	4	9.94
117	435	3	9.2
106	1065	3	6.52
122	1451	3	17.61
3057	104	6	33.84
173	117	10	28.54
105	691	8	26.09
8	3877	4	29.94
999	102	6	14.22
12	4996	4	19.39
156	368	11	87.22
202	123	5	13.6
309	118	32	243.94
4109	14	4	17.53
106	553	5	10.17
873	14	9	21.47
12	201	43	88.14
8	160	13	26.22
1303	14	7	18.26
169	123	28	150.98
125	195	3	5.52
107	937	3	9.07
336	860	5	54.2
150	102	22	10.87
2197	9	3	16.18
108	273	11	36.79
134	1465	7	60.31
296	744	3	27.22
2302	8	3	16.22
417	115	5	18.33
108	189	7	9.5
115	159	8	12.39
184	124	3	5.06
4877	12	4	19.39
783	110	4	15.3
12	4021	3	9.05
108	442	6	18.93
2252	12	3	5.61
5533	12	3	11.69
910	102	7	17.75
460	150	3	16.48
2373	14	4	10.43
230	106	11	18.24
1197	14	5	8.77
8	415	3	6.86
736	105	4	7.9
191	118	34	202.71
357	101	17	27.94
1024	14	4	4.64
106	1441	3	8.07
118	452	4	15.71
4164	633	4	62.15
385	2216	3	35.99
463	116	3	8.86
2757	101	4	10.18
7931	103	3	22.01
1219	103	3	5.47
148	884	3	20.02
557	176	5	39.39
104	3080	5	25.45
397	16	5	26.07
223	102	17	25.05
109	500	10	46.48
119	773	4	20.3
1349	12	11	40.17
129	161	4	7.23
139	1319	3	21.08
106	144	17	11.52
299	12	9	5.23
585	104	11	35.94
1908	12	5	13
926	12	5	6.35
1621	104	11	61
288	102	8	7.34
860	399	4	42.78
101	1478	5	8.41
104	235	7	5
101	1426	4	5.14
104	118	288	1032.49
491	119	9	53.25
1060	14	8	20.17
468	105	6	11.95
5858	4175	4	87.94
4391	101	4	15.54
423	101	23	59.97
104	1459	13	74.43
4104	253	5	72.24
500	115	5	19.83
111	1035	4	17.26
266	182	5	32.61
1879	12	3	4.39
957	12	9	22.06
1656	104	10	52.56
2174	102	5	17.76
122	645	8	51.54
104	4007	4	20.68
169	138	3	6.9
12	1506	10	36.8
1135	102	4	7.31
684	105	7	20.52
195	128	3	6.46
560	101	13	24.78
104	1128	10	43.32
1894	14	4	8.58
101	463	8	6.17
1529	105	3	8.04
178	106	11	11.09
2178	14	3	5.6
115	512	6	26.25
317	14	17	30.33
125	222	4	11.24
129	403	8	49.31
1115	111	4	17.93
7860	14	3	18.74
3888	105	5	31.16
4286	101	3	9.24
1027	121	5	31.4
943	14	5	7.03
130	669	7	47.84
115	1271	3	13.95
105	842	10	41.52
168	3430	4	44.29
1128	106	3	6.75
643	114	18	130.62
106	518	4	6.16
12	184	25	22.66
1166	102	9	32.33
653	12	13	32.6
600	117	3	10.88
1923	113	3	15.95
157	116	14	36.39
102	1177	4	7.62
281	109	3	3.94
387	14	16	33.82
2125	105	3	10.02
12	738	8	13.62
106	911	8	30.78
1185	105	3	6.64
111	134	11	8.98
102	359	8	10.27
8	719	6	27.54
126	4749	3	26.26
103	713	4	5.89
106	1671	3	8.73
155	245	4	19.17
107	444	3	5.49
4968	5825	3	62.18
16	16	23	87.39
983	115	3	12.4
104	1638	10	52.56
101	1019	9	20.07
104	1714	10	54.38
6221	102	3	16.3
104	1758	6	24.45
236	392	6	52.22
110	1438	3	13.09
120	1748	4	26.56
107	275	21	97.71
282	16	4	15.99
105	1217	3	6.89
1585	9	4	21.04
2449	124	8	78.76
104	2012	3	8.54
116	358	3	7.65
104	1968	8	41.37
752	102	13	46
3839	14	3	9.54
181	119	10	34.95
607	14	5	4.07
101	2436	8	33.35
101	4611	3	9.24
1846	111	4	22.02
649	103	8	20.72
133	109	11	7.03
310	181	3	17.4
692	208	3	23.39
