13731	3221	2
6304	4100	2
2	3163	22
102	8011	2
12	4360	16
294	9993	12
159	3730	14
6791	2560	16
2912	5257	0
14	7719	27
37530	9538	7
304	2131	21
3331	9584	10
104	7904	4
641	86	11
104	1448	21
2612	6159	1
104	8717	4
475	8162	9
1692	9649	16
116	128	12
6057	6960	25
173	3038	17
13098	6531	8
14	9602	15
5567	5588	12
6099	1983	20
14	8004	17
5291	3929	5
8022	3363	1
233	1137	1
3306	446	17
114	4226	13
101	3362	9
14	9319	19
2958	596	38
276	4793	22
828	4531	15
183	2828	8
382	7081	16
124	6384	20
366	6565	4
664	8773	36
2530	7661	7
321	4190	6
101	617	4
14	3209	15
107	6417	28
107	9175	2
101	4608	16
191	2750	3
4761	6571	25
1210	2005	5
12	5604	14
701	3994	27
3150	9467	6
460	5563	18
102	5805	7
4232	8763	17
656	4725	14
24806	9443	13
2799	4744	3
103	2987	26
247	9630	8
106	5553	21
1184	456	10
13089	7192	14
610	9781	17
1815	2459	8
2053	3552	6
102	9455	2
6729	5225	7
4718	1357	7
1874	554	5
316	6582	4
127	9356	8
754	7839	3
14536	8915	4
106	8252	6
312	7820	8
128	8139	12
351	6889	13
202	6575	3
18779	1137	7
17573	5766	14
1819	6901	15
120	7158	19
120	4402	10
19569	2172	0
645	407	12
102	3023	28
120	7645	13
12	578	12
12	3757	11
14013	7402	9
12	5070	4
157	8046	37
1639	3043	9
102	7855	10
6883	3943	13
21	1416	16
12	2625	21
102	1511	27
102	553	25
38810	2593	12
106	8955	6
133	7749	5
484	3601	6
14	9477	13
3338	7322	15
125	3615	0
112	6350	26
116	8099	1
168	9546	28
111	8626	15
192	1631	3
12997	2613	15
2	4765	7
4105	4376	4
12	4936	18
927	5083	28
107	5276	5
9464	8938	14
443	1622	3
6041	693	27
112	2819	4
109	6101	12
101	1221	24
14	1738	20
103	5610	9
2920	4029	13
12	9611	7
565	9356	21
136	2581	25
102	8425	16
108	8314	0
30004	8737	7
342	6702	15
108	7319	0
5049	3531	7
424	7234	1
2915	2832	26
564	5602	11
1812	2681	4
105	9997	14
30604	658	21
1419	3529	1
225	1030	26
14	9395	38
12	6850	13
12887	9504	51
168	1175	36
565	141	14
2	6935	24
11319	1795	18
101	2689	5
7326	3748	1
14	1121	14
9	1412	37
17	9814	18
105	6212	4
1996	2959	7
115	7954	38
585	8792	2
205	4574	1
436	1507	24
126	8851	8
7772	1495	6
5935	765	27
12	2441	5
12	8998	15
1527	7081	2
607	6059	22
113	6193	39
1320	3067	12
1472	8931	19
10784	2320	17
14	8871	21
16934	3628	9
625	6875	10
12	268	10
1724	6118	39
108	7760	0
153	9683	3
387	6622	20
1119	3793	12
3834	6231	3
105	2795	4
179	8788	8
315	2384	14
114	576	3
17469	1041	11
1683	2486	14
1734	6544	11
14	4188	43
161	7974	36
302	6906	14
2448	9481	12
870	4272	10
117	3113	13
10929	6141	3
8	3936	4
12	5390	2
144	4997	29
108	7134	0
471	14	18
111	6908	3
20220	8369	8
14	3618	21
104	75	27
3451	2222	20
151	2591	10
2648	4542	4
152	8549	34
300	7327	10
104	2703	2
266	8438	15
570	2428	1
13566	9807	1
12	5229	8
1268	1106	14
7307	3614	10
3705	3544	16
28836	4136	9
12	3877	25
13996	461	12
6536	643	5
28517	7315	2
101	7811	13
134	7577	7
14	2766	11
101	517	30
240	4333	5
14	7529	29
7	1246	26
5610	6254	6
5560	395	3
103	8133	8
2397	3493	1
120	6618	11
716	6720	45
136	3710	5
37811	3615	19
814	9744	8
24554	8818	19
3998	8951	9
105	5455	11
118	449	6
5411	3556	11
14	4642	16
105	2092	4
13171	4606	40
14	942	24
164	4814	24
112	648	15
4711	8195	38
103	1833	19
131	6764	2
4087	7352	7
175	1907	13
231	6107	11
4175	500	11
14	6492	35
458	4050	18
158	4157	12
104	8256	19
1123	4086	6
326	8551	5
1366	3009	1
309	73	11
12	3458	2
352	6153	4
102	9316	1
12	4321	13
12	365	5
8934	5936	17
9866	6860	25
1500	710	6
6117	7772	22
103	7878	25
1412	8380	18
2261	23	10
285	315	19
102	3123	38
130	9836	1
20317	1150	15
1560	6164	19
1357	8041	5
111	5170	9
29470	4341	10
1719	1833	35
6887	359	16
1389	5621	6
4103	2130	12
102	4108	14
2742	1672	24
37926	8543	28
955	5977	29
201	129	13
497	6718	20
1799	1612	19
785	7644	19
849	6084	11
973	7192	10
12	6057	25
403	2681	2
3873	2032	2
14	2287	6
3610	7040	18
106	3857	13
109	2457	10
154	2175	14
14	3780	24
1593	1117	0
549	6086	6
540	7284	19
304	1491	25
7954	3760	26
34966	4766	2
7341	2979	13
36150	6300	1
158	8176	23
171	6818	9
101	4620	17
5272	7879	13
3300	4406	7
103	5252	22
3070	9065	1
153	885	3
165	7083	2
215	3087	12
108	3898	5
6967	1727	19
17541	2484	4
2397	1345	1
12	182	32
133	5131	11
365	908	25
101	7494	8
101	4521	15
14	6279	6
357	2106	24
9626	7580	10
728	7754	28
8839	648	7
855	7177	25
33870	8550	21
455	2927	3
5738	8459	28
657	6809	18
104	5142	37
101	4621	5
449	9243	18
101	3723	22
14	107	29
101	5096	25
945	1385	6
2631	2370	4
114	8908	9
148	144	0
105	9295	9
14	5387	11
848	1295	13
10222	2772	12
30987	6541	8
14	8903	14
326	9896	19
188	6199	30
15921	5415	7
12	1863	15
337	532	16
14	2356	35
2564	766	9
7513	5178	0
16	6216	6
22269	5242	17
17491	1658	7
101	9378	10
336	9685	7
107	9052	1
268	6055	20
4848	7663	6
5343	9889	24
9589	85	8
34703	3249	28
565	6498	4
12	8867	8
35851	9902	2
102	4109	26
