128	2410	2
109	6643	12
162	5980	22
7595	198	0
2119	5562	29
9	6800	25
105	2339	20
101	6156	5
1015	5572	10
898	9659	12
101	9007	7
103	4196	9
878	7634	31
389	25	4
111	8242	1
12	5255	4
12004	9219	7
16853	9904	17
32092	2289	21
30100	8257	8
340	1738	1
167	8481	0
1531	371	20
105	2469	2
4168	4177	13
1093	4982	8
1180	8000	1
249	4207	4
206	4658	10
113	7778	6
4987	5005	4
107	6815	10
3532	8280	13
220	265	3
118	2380	21
101	9766	5
25471	7933	18
105	2561	8
8405	5539	30
2266	9927	5
2926	2094	8
139	6962	20
566	5080	4
14	4517	14
41384	6396	10
161	6129	8
281	510	10
36485	1448	12
103	9930	18
43784	959	10
32109	3536	7
46191	6855	16
6445	3623	5
145	2663	2
29661	9411	7
139	4690	7
4814	5971	11
182	1231	20
105	196	5
103	2063	16
14	1091	14
108	3922	2
39780	3830	26
7563	9657	23
12	5070	4
8632	7956	21
10172	8947	23
136	9695	11
104	7022	4
32823	6992	13
4422	2949	3
295	2314	5
231	9399	12
4186	1581	0
44230	3558	9
160	4764	12
532	6108	6
133	4778	2
101	9477	13
10	6923	9
103	12	9
180	8932	12
577	1225	13
110	982	16
2708	9475	2
305	6061	18
13002	5481	5
13	1021	7
37324	4472	11
12669	72	4
101	6732	7
13295	518	1
3106	1538	13
154	4312	6
12	8773	5
1055	7047	4
141	5025	6
2064	8168	32
43953	1501	31
26968	5784	10
10527	6449	12
149	5520	13
183	5451	0
1844	5204	14
3344	8993	15
801	5699	0
121	4895	6
14512	5960	10
32978	1771	12
34994	5006	13
101	6402	1
3050	4807	5
14	6114	10
14	7363	15
14	4140	8
110	2552	5
9416	724	16
41522	3022	20
32756	707	13
103	5510	19
36044	2386	14
7556	2088	6
124	722	7
36798	7720	6
826	9968	20
4939	4979	4
116	5258	24
2816	3385	9
832	9635	8
108	3100	4
147	1133	5
369	7122	0
309	9505	0
28239	879	2
138	2686	12
12	4224	2
104	8920	37
33511	2260	11
161	9561	1
27841	7286	0
850	898	3
102	2852	4
7563	8084	17
32830	3624	1
104	4998	5
3484	369	12
762	941	0
102	1582	31
107	9433	16
1755	9395	10
23992	6560	0
1802	1370	27
122	2298	9
57	2851	8
233	1326	10
108	7284	4
9	3262	9
14	4430	22
44315	1169	25
114	5222	15
12	6725	15
2143	4616	14
102	7874	4
24170	254	14
140	6169	0
389	3902	19
172	9855	9
121	1821	14
8875	5659	5
767	2931	19
168	2212	10
285	6272	33
3502	6780	0
157	7583	0
33001	7418	13
2229	6631	0
4036	3437	3
1403	4881	17
14	9632	15
23596	8381	8
4671	6063	18
230	4126	7
608	4542	6
410	984	0
103	3565	10
630	743	4
725	2720	11
457	4210	0
7114	4206	8
22725	8974	10
106	6613	17
1182	9987	4
301	8092	4
2001	904	22
2337	4576	14
44850	2660	32
13872	8183	14
20283	7551	9
26880	8608	9
109	7729	15
6975	4122	9
1760	7315	6
11407	4568	2
146	4133	10
103	7971	5
1086	8110	0
2165	3999	6
114	2852	13
316	9141	3
22932	4622	10
35045	2792	23
1848	724	18
18769	4149	0
121	9084	14
4451	440	31
174	178	28
4774	4619	12
2687	513	11
1416	3596	4
213	4097	14
10794	2177	4
36489	7758	17
105	5322	12
8	8127	6
140	6068	0
111	3058	0
10887	8440	8
102	8557	3
4726	7797	8
12	1124	7
257	4664	6
8501	7826	8
259	443	2
5	6669	15
1655	4302	0
538	9586	1
117	2766	2
2596	8129	9
103	6251	17
22484	3938	16
14	9664	20
14	5097	13
3564	5902	12
11922	3351	13
12	7532	20
11408	8505	1
150	9149	9
145	5896	12
189	6647	13
121	7797	6
112	7242	3
127	6136	22
506	1861	2
13914	2006	13
103	3468	5
41094	610	8
101	8009	4
6320	5431	16
3186	3832	3
22658	5615	0
7995	8588	9
12	2415	8
9007	6113	15
128	4365	26
4407	7032	1
107	4631	16
1284	6851	1
34270	7044	17
2032	3908	6
14	2208	8
182	9384	6
14	612	17
878	4626	17
964	671	18
40053	789	6
14	1672	15
12698	419	10
122	2203	6
33002	4090	22
101	9481	12
531	283	8
679	2097	1
12007	3993	14
1048	7805	13
33310	4502	1
22609	7563	7
19339	4333	0
8240	4060	8
112	9738	11
9285	9523	9
1364	8964	21
1122	1687	1
6348	4683	25
111	3259	0
12	9030	20
392	7362	25
12918	3230	10
2105	3531	24
4194	6975	6
24727	9305	5
379	9709	12
128	3020	13
12	1033	9
3968	8019	10
104	1194	16
599	590	4
4685	7733	2
105	8846	27
1112	2758	5
34379	97	2
103	234	4
101	931	13
371	5011	2
12	3433	26
8621	2722	7
12	7424	14
102	1281	22
6492	7605	4
107	8986	7
36356	3593	5
109	7197	23
1548	507	12
30643	94	24
596	2637	9
407	3156	7
956	897	16
4504	5596	1
38570	3127	6
105	2028	10
159	4148	4
14	4866	21
268	6479	3
288	2736	7
102	5614	20
102	7978	13
106	5614	35
102	2408	7
13	8631	25
41539	5046	25
142	1256	1
1615	8587	1
445	9073	6
35255	667	7
28046	4710	39
20973	3161	19
176	4506	2
480	5971	18
15793	5632	18
125	3093	5
134	3450	4
14	3680	14
110	6068	3
14	8961	6
340	7650	11
1347	6929	4
106	1691	18
9432	5064	15
1009	4816	7
165	1571	21
1287	9730	6
28264	1779	2
9	93	15
139	7195	15
563	5508	11
5320	178	0
122	245	17
44851	4680	28
7330	8848	24
27529	7230	13
6010	9194	3
145	5313	8
116	8744	2
42760	9442	14
138	2228	25
12	5039	11
1853	3048	18
127	5119	16
102	8420	5
466	1548	2
101	5125	15
169	2755	1
211	845	9
1650	4714	9
1215	4489	7
268	4841	4
36513	3661	24
1251	2659	14
22343	2046	5
102	5260	10
845	9638	0
163	8050	20
104	6937	32
139	8636	3
242	2744	5
101	1440	1
14	1967	13
12762	2482	13
417	1510	16
45633	8949	17
534	4918	11
290	8611	3
44506	8255	12
114	8212	42
103	3692	7
12761	3095	5
152	4688	0
107	5240	6
5458	8890	16
9169	7518	16
112	7533	1
2638	5303	26
109	2515	5
6391	2238	4
143	6537	0
14	94	34
207	4823	29
103	2688	25
36375	9211	0
116	8079	14
8752	7406	2
289	1189	20
624	8594	1
12	6596	2
33291	8465	22
30780	8566	6
788	2160	28
14	1165	17
520	8104	12
120	2420	8
284	254	1
14	4150	34
12	1794	19
1316	4787	10
3588	2513	17
36385	9294	17
5227	290	21
6647	5971	22
350	8865	14
4083	415	0
11006	5801	17
102	4051	36
105	6375	21
43603	6777	12
57	2786	7
1329	6479	5
102	2031	16
1120	1336	13
460	4594	6
111	3355	0
107	1174	16
38088	4561	15
11414	2817	14
1464	624	13
1423	1659	28
2082	8475	1
30525	660	4
24614	7393	8
14	7398	8
10801	5232	14
2206	2843	11
510	6848	8
14	6087	13
158	7226	9
1572	9555	0
12946	1149	17
105	5262	4
141	3025	33
38306	4777	16
16306	9345	20
111	4060	0
523	5733	1
102	4076	9
8377	4532	3
709	7045	1
158	1331	14
3950	1604	14
2591	6839	13
155	2975	12
1714	2674	1
124	1471	20
217	810	0
149	6490	13
269	8203	2
43008	5725	7
43610	3701	3
145	4802	4
14	7710	37
284	2328	4
300	7574	9
5998	7269	0
165	8844	10
144	2060	0
14	8104	14
447	3611	8
103	9256	21
117	2656	6
14	4770	21
1187	3385	4
11764	9479	26
771	474	12
28563	626	4
181	5260	20
31616	8338	1
32725	8196	0
1116	9143	3
36440	2863	17
1073	664	33
8141	9580	10
105	5220	8
14	3173	16
101	864	7
101	1198	5
175	5045	0
14	367	11
102	7818	13
3353	7484	1
912	4794	13
162	1809	17
10972	2110	12
36698	2857	2
17	6357	12
102	1797	28
4509	3687	36
666	6134	6
131	2282	4
222	8719	10
4849	8380	4
102	8169	7
3548	4197	13
106	1533	6
38693	9303	24
14	7535	14
108	5758	2
14	489	29
1464	318	11
146	8128	3
6049	9024	15
31546	1556	25
102	8516	5
12	5569	9
32241	8380	18
587	6963	22
12152	4509	3
102	1796	8
9	5277	25
15919	7557	9
7234	3287	9
148	8079	13
283	4120	11
28564	9041	34
331	6352	6
178	7936	15
128	9549	7
921	1168	21
12	2025	11
176	6620	7
528	8692	3
12	6794	4
14	2860	16
110	4893	1
11375	7712	13
338	6059	2
134	1340	1
2651	9157	8
108	6042	10
105	2887	5
693	3872	7
1373	5855	7
28329	37	7
682	8817	6
163	4406	9
101	3535	2
110	4159	29
40336	8946	6
43614	7298	4
20017	9448	4
109	314	16
12	2084	16
1891	2796	25
14	3172	4
41391	2529	22
209	7394	0
117	2080	4
576	4234	4
138	3576	7
1456	684	25
1167	9328	3
102	9387	10
116	8268	19
102	8072	8
135	1718	10
41283	2771	4
2752	8517	15
6235	8243	18
460	245	13
2235	6039	1
288	4862	25
11014	8784	8
2282	9643	2
32632	7526	30
107	8021	2
695	7957	10
116	9667	7
38039	9718	4
32899	8224	0
131	7881	1
7742	1810	28
18588	8230	10
14	1506	26
119	5056	2
22213	9525	10
5868	677	2
103	9423	12
4410	661	5
122	9650	7
632	7361	11
148	4551	17
8912	7286	1
770	4179	13
876	2403	9
218	8779	10
22929	9085	6
16532	6884	2
41975	7075	3
7762	1509	1
16718	9230	5
6315	4326	19
113	6081	31
101	9957	15
6637	3831	5
26513	6820	14
132	4073	3
1496	2670	18
14	2263	44
36336	5456	14
103	3238	18
1475	3954	3
5053	7539	16
105	1993	13
115	7947	30
9	2329	15
14	7725	9
845	201	4
2116	2044	11
776	6472	13
37826	9701	0
1408	9503	9
974	5413	22
4173	1049	10
2110	5964	1
5234	4220	14
408	3317	5
107	4602	7
