3486	1
8920	2
956	3
6466	4
7306	5
316	6
94	7
9198	8
2816	9
9034	10
3357	11
2817	12
4988	13
7452	14
4473	15
9340	16
3391	17
2047	18
5135	19
8600	20
7137	21
4800	22
6036	23
7853	24
7657	25
1518	26
7964	27
207	28
2059	29
698	30
6370	31
3771	32
5635	33
6728	34
8779	35
8877	36
3485	37
6652	38
2476	39
2699	40
8776	41
8150	42
2389	43
4199	44
1094	45
1786	46
284	47
3716	48
1222	49
8362	50
4300	51
4283	52
3366	53
9059	54
6771	55
3712	56
7185	57
5028	58
1856	59
9312	60
8497	61
374	62
1727	63
7085	64
7390	65
7108	66
1361	67
7754	68
1883	69
30	70
8827	71
328	72
1542	73
5278	74
6511	75
2228	76
2548	77
2012	78
9418	79
252	80
7275	81
9055	82
7008	83
7742	84
3089	85
4049	86
8740	87
2462	88
2296	89
5624	90
7802	91
4409	92
9096	93
7294	94
1596	95
6942	96
4005	97
7888	98
4938	99
3914	100
5336	101
9491	102
7866	103
2682	104
1877	105
164	106
2503	107
7872	108
5562	109
5197	110
6599	111
4278	112
7000	113
1658	114
2346	115
7346	116
2869	117
1079	118
4314	119
2359	120
1689	121
4586	122
4954	123
9268	124
393	125
8628	126
7533	127
1916	128
2419	129
7939	130
2003	131
4834	132
2703	133
2281	134
6446	135
7793	136
3072	137
4344	138
5573	139
6953	140
6348	141
8521	142
6573	143
8049	144
901	145
4039	146
9170	147
891	148
5291	149
5172	150
8574	151
6773	152
3840	153
8943	154
6226	155
5781	156
7021	157
4220	158
1728	159
2516	160
7459	161
1959	162
3994	163
6787	164
6542	165
22	166
1797	167
7844	168
2216	169
763	170
9533	171
1758	172
284	173
8847	174
3894	175
8886	176
8160	177
7569	178
6314	179
1433	180
2815	181
4861	182
6885	183
6335	184
5836	185
1805	186
469	187
1757	188
7678	189
463	190
6825	191
2766	192
1359	193
5255	194
1972	195
7066	196
8746	197
4393	198
3935	199
6339	200
8457	201
7951	202
6145	203
474	204
7014	205
3871	206
8104	207
2458	208
2786	209
2837	210
6453	211
3882	212
7952	213
4324	214
8183	215
7537	216
6121	217
6575	218
5926	219
5985	220
799	221
5289	222
18	223
1426	224
3942	225
2495	226
2146	227
3888	228
2081	229
4295	230
1208	231
5410	232
6336	233
1514	234
1965	235
6691	236
7829	237
4208	238
5877	239
6983	240
9344	241
8245	242
7004	243
267	244
6995	245
1577	246
9167	247
5137	248
629	249
1140	250
2078	251
5626	252
2972	253
4829	254
4537	255
2800	256
6371	257
1886	258
9169	259
174	260
5734	261
3142	262
3962	263
9209	264
4997	265
9359	266
2220	267
3335	268
7912	269
9466	270
2399	271
8481	272
2347	273
6922	274
4889	275
7208	276
9452	277
2133	278
5629	279
8948	280
8586	281
2930	282
7995	283
8398	284
1334	285
4482	286
6039	287
3645	288
6872	289
3427	290
8658	291
1929	292
3041	293
6889	294
4041	295
3007	296
57	297
2553	298
4820	299
328	300
81	301
9391	302
